Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
58566.8493634206,6.579691453,5.034525352,2.17,39705.4649593564,1026817.39978846
75537.7945100003,7.845215914,7.555660721,6.3,32778.1953418883,1762214.67958189
46147.0530563434,6.623332829,7.60683155,4.43,27161.1286079462,882057.170592842
70421.4764876077,6.90708297,7.634318731,4.44,43183.928487881,1744932.21099093
62614.4206191273,5.499309697,7.440505218,6.32,26888.5795629391,1153871.46950163
66394.8715858483,7.069512154,7.204639709,3.18,39741.0775094335,1499988.87952261
73946.8510739782,4.863154306,7.537182365,6.35,35261.1270183689,1109588.38016251
69144.7457074398,7.296224497,5.928223473,3.22,19030.6154867746,980177.305137126
77278.6970281866,6.238891015,6.919204136,2.13,21725.9542896347,1323952.02742518
86754.1966286121,6.604439819,6.252454805,4.02,43017.4407571536,1662494.73554439
74399.8409819142,6.382452912,7.252665322,6.36,41084.6628246322,1417819.74021809
49408.1983401443,5.825920476,5.831738973,3.32,26881.1305979671,549976.145559579
62279.7900515739,6.108449991,6.30611635,4.12,35263.6531374524,1054770.98064753
73078.2040856183,5.92390639,6.445456691,3.32,54915.961781984,1415647.55343724
72942.705059134,4.786222295,7.31988553,6.41,24377.9090493166,948788.275709448
63819.6228511414,5.949839471,8.022469239,4.09,27825.5720612944,1159596.51861962
73265.4498879064,8.314761979,7.42559746,3.24,21030.9661771716,1547133.39640045
68488.1311730199,6.116111748,7.18252748,5.08,18267.9547056388,1186688.50593835
55193.8574531501,7.186120667,5.096917456,4.01,32537.818768918,772111.972102101
77434.689240445,6.309271353,5.219754029,3.06,36252.3406823443,1172730.15576932
66158.8815850131,4.476429067,6.91174261,2.28,37098.7421723517,1111085.01689106
60502.9093338445,7.533380986,5.731824125,4.23,33579.6315121676,1022781.17074291
60910.8937933297,5.635466738,7.325973781,4.2,43347.8040011545,1274474.54589349
73931.9785215884,6.394107667,4.580839921,4.32,36543.0672805481,1213530.84986587
59539.9484501364,6.018590243,7.007676166,5.43,58600.8271496758,1411730.47725883
56547.5071874038,5.435415183,6.515149877,3.13,37585.2745762287,858685.565924956
65950.347016833,5.476513158,6.717844306,3.28,40110.8476049507,1200961.82092263
74533.1620819875,6.67935313,5.919230726,4,49481.5658076043,1520234.22937746
66422.9190517667,7.12207185,7.078583745,6.36,31019.3248206904,1360908.31962001
74334.4948489106,5.419012564,6.261535284,4.12,41640.4356606567,1360920.53038608
63538.3461582222,4.764499308,7.168662411,3.27,43282.1830042502,1146532.45474056
83953.1048390966,7.385134534,6.898846569,3.08,37283.3576459518,1789098.52069149
57279.0635758589,5.118108905,6.561520216,3.17,44023.7906849321,852099.464026854
56553.5502526617,5.691129213,7.021252354,3.15,29682.4098642278,746096.728900488
75795.575982591,5.786780024,7.327325343,6.25,33197.7777426301,1534479.90656442
70848.7886587371,5.282325021,6.766444664,3.27,40458.7358695174,1215608.53105597
59787.4045039362,5.653120316,6.594592279,3.43,32402.1075491468,941594.32841077
64826.371894956,4.010907337,8.290419813,4.38,60286.0431013577,1204598.03746313
65925.8537962682,7.605511954,7.070409541,3.28,34171.3600736687,1597655.25841228
64419.2526383464,6.954422126,8.516160048,6.16,39318.1707547239,1492011.49586213
58544.4602982388,8.562610576,7.276308629,4.28,30865.5869537453,1421216.50444086
68791.7916884853,4.725552229,6.704201604,4.11,48423.3224441769,1132522.90129471
82061.5652038386,4.182828228,5.963031884,4.1,36271.4084957492,1102821.43818081
80659.5254435962,5.436306202,7.100753432,6.24,52947.0363600871,1856211.3503596
66668.0935210354,6.184965339,7.863127437,3.35,47075.2122326685,1687998.93296047
64721.5644963706,5.677637527,6.971331701,4.48,36115.8163644028,1063423.00726487
65199.989940295,6.445742898,6.937127028,3.2,28366.0354318534,1177289.88620479
74579.9895272463,4.639654131,5.521489299,3.07,42806.1466438013,1173474.37883732
76273.6703254929,7.879751801,4.500165348,3.39,46974.5787857534,1637259.99866779
67561.9420601389,5.251400747,7.658576339,4.04,35517.5418704043,1238938.291
48904.9832693168,4.844972531,5.44895603,3.38,32960.7530701912,201898.086572496
72145.9672131515,6.39862599,8.258634924,6.06,28882.9008546737,1439506.10155701
70805.6106836014,4.443728924,5.809147306,3.3,29268.8267416847,585608.632622232
65383.3379172869,7.512526779,6.640032004,3.46,35114.4024634874,1294685.15854701
95450.2930860132,6.595060685,6.850361008,3.33,39388.5155210775,2014851.34416151
73698.6963572913,6.372730932,6.578352074,4.33,51815.0964186221,1840236.00580269
66263.9105011633,6.374930066,6.736974131,4.41,49829.9515004814,1441421.91299361
75394.7595816215,6.933352468,7.834099801,4.48,22268.0753055821,1498640.55065037
65984.7506448583,6.512270085,6.31648002,2.38,21867.4769398945,954746.576432824
66477.2627922904,6.982151725,6.038487979,2.37,32458.9866990138,1124635.93162859
69284.2596369133,5.347447091,7.173425885,3.45,40282.7242801005,1169944.24775875
70404.4961037192,5.544083726,6.001261362,2.02,37127.9255010042,1114430.95342313
74218.4890218834,8.069721868,6.506374302,4.37,46770.6609678888,1783534.83882736
63441.7146451262,6.471673727,7.064811136,3.22,48061.7526733416,1302933.24756928
57493.9245702795,6.893260157,6.734045416,4.41,47039.2153229413,1241483.61187325
81543.7773153344,5.503923196,5.897052836,2.14,9816.3008847085,954114.543953548
78633.973755089,5.465393231,7.531143012,3.24,43728.8034861971,1555320.50000112
52202.8537197135,4.869306181,4.414380866,2.23,42165.8124568679,404976.365896227
67980.3887819292,5.562938814,6.159705222,2.44,25909.0791964239,1073183.75984163
78568.4491640523,5.47573732,6.291600796,2.29,41016.6470911123,1422195.87945057
55472.6548269056,4.822147136,5.855972309,3.2,15353.956428663,340605.211312461
67579.2347944313,5.973219005,7.754357545,6.32,21762.9496856254,1170959.52628461
61456.1507037809,6.882954326,6.417572622,4.19,30821.4120865768,942838.164721813
60815.3903949614,7.170128531,7.984335122,4.11,31233.6493459101,1401613.91976932
51217.1811603719,5.384841408,8.776160034,3.41,47089.4750810975,1175504.48633204
63027.6747148583,4.855968121,5.580905938,2.3,35991.7206378878,608794.246692195
62484.855299128,6.496651466,7.322709774,5.13,26882.6517946772,946943.036217136
73923.4662743976,7.005505785,7.135063347,6.04,58745.3120275589,1819900.63664371
79737.6097639001,7.315957927,6.611096005,2.17,28307.314325645,1463130.27297894
63890.4715676646,4.972306569,7.916386397,5.49,43416.4978209279,1252391.17984217
67310.0369527861,7.193792989,7.760732555,5.28,43310.6124282677,1714445.17463658
73145.7302178026,4.096517243,7.254217433,3.18,49463.3788790285,1291759.39266068
86924.3587656217,6.832939699,7.738295553,6.32,28719.4108881455,1809154.28936317
74384.1056290449,7.411486571,5.164865476,2.3,17117.4436748408,1200539.36116778
67477.788184043,6.623528293,7.91617166,5.1,29763.9253486156,1300265.21041547
71202.9569203271,4.318869133,6.634954066,4.37,34207.3972084701,997448.728076994
85845.3177991955,6.743652961,9.468766369,3.46,46477.6786845017,2152959.40894309
72138.8704824495,7.163640935,8.485778263,5.45,35799.6382743218,1629983.84670324
44806.0051640555,4.494570528,4.725325117,3.1,57390.8900738104,497579.446586873
67504.1784594896,5.329798509,5.894411949,4.36,37441.1205436144,890112.549317892
74706.1005317106,5.003327764,5.661064127,2.05,39680.6093204361,1064685.69873354
68898.3459133942,6.787648529,7.871352644,6.39,39515.5715616054,1530124.0163169
58118.0181607989,8.137214471,5.650900286,4.36,35598.390437472,1246246.82775976
77643.2830870967,6.070115922,5.381038359,4.45,35512.2550468822,1240754.93204638
67769.8255909987,8.074693668,6.761631408,4.22,33254.6034094282,1760734.69036401
74411.0598922667,5.534627544,7.210123361,6.44,43537.5029455051,1393746.76046743
73101.0787976686,4.104129923,8.920333221,4.35,29497.9712933537,1172385.89770456
58708.4171567401,5.083861036,6.262825884,4.07,15969.9260412398,483986.10899253
63876.0599100904,7.080219326,7.187432975,3.37,38052.876443166,1388530.15668361
68343.154091419,6.39244379,8.425112895,6.2,40653.8700654017,1721739.3841385
73064.97996,5.9940628,7.204368895,6.19,30699.3397105111,1276448.79204297
67367.2680827986,6.774710809,6.690894899,2.49,32547.2725330766,1161742.67744636
66547.1817515923,6.350672042,5.305000412,2.04,16741.9649871267,786407.945117428
73313.5453841825,6.414723236,8.492901229,4.46,37808.9966721212,1604920.97345841
47681.3617330345,6.890508224,7.788267986,5.13,50908.9789091107,1230149.13678644
67910.9491284623,6.445851907,6.675937268,4.32,31379.7829705824,1051644.55402255
69277.8912498076,6.142591681,7.811724471,5.15,43717.9130919397,1415073.61418119
67946.7146756132,5.403175673,5.671136343,3.21,35197.9425690253,1043483.91513203
90975.1132724804,4.740683035,8.320351986,6.45,44426.2136475975,1544379.74773568
61885.5464403289,5.405265969,6.91419577,3.22,48726.951303303,1352135.96726418
69401.8472172649,7.042354995,8.097044285,3.44,29293.074048931,1505727.4308014
72969.1212712305,6.188575726,8.076943604,4.2,31755.7213642399,1416965.97868824
75582.4597645351,5.506473429,6.774986419,4.33,31946.3038675233,1046721.97617325
56241.2267731318,5.623087016,6.818670754,2.18,32745.3681201538,939040.003560116
79412.8354717458,6.087360169,7.481321112,3.26,17568.7337605834,1383031.33236644
79618.2368460209,4.566166101,6.669888411,3.49,29636.5071105566,1072503.23794367
67019.0740473973,6.487943167,7.3313301,6.26,24997.1087059943,1134397.75771537
56063.4808667633,5.10693512,5.385339778,4.14,39129.2967047029,734827.50801229
57077.5803040693,5.775467041,6.952026674,4.27,33393.9166032247,991892.317484247
75954.8182530182,4.289916281,7.418750603,5.04,34467.7586980099,1057252.5826211
52575.8151749222,7.133719417,7.173698882,4.06,41828.5796168868,1237224.85875182
63312.8056746774,6.139115452,8.199615241,4.41,43230.3521579572,1442632.54122656
82526.9621048191,6.453073406,7.748248953,4.46,43947.6802641226,1877402.31972695
73204.9421322881,6.640915863,7.311912321,6.4,35090.5008098677,1394518.41546763
56357.1931380549,5.707903109,5.240300887,3.25,38061.9982989562,953939.329905644
71316.6246504147,7.107767687,7.088992691,5.33,21651.6994092117,1219778.03420155
75046.8482039263,4.983084629,8.877240042,3,32468.031152301,1287325.38185667
84474.1600561902,6.970854746,5.935909326,2.47,38677.8151530554,1739893.5550496
68162.6839256686,6.962206716,6.69735801,3.07,31843.8763372259,1213382.22263647
62784.3329483432,7.572350215,4.652717555,3.31,35122.3894716078,1007478.74843115
67009.8156737444,6.849769937,7.610720856,3.22,39737.1226089631,1528756.12615003
67437.2503633562,6.767363237,6.703917223,2.05,29356.2233679251,1182459.77166367
65967.7693085765,6.847724976,7.777279444,3.14,35799.9625483202,1474546.76214611
42816.3058855087,7.603999924,7.045248511,4.18,47457.6622142838,1078016.9396491
83347.6696969644,5.468158427,5.475252654,3.14,48226.7189277801,1453381.62430311
81699.8799955425,5.47980183,6.476007341,4.41,39527.0485608464,1495012.96483408
56143.7886649365,4.580122446,6.668979774,4.04,45084.0366595903,714148.414752902
59513.8349195212,4.885131771,5.57471435,3.18,44162.2792052201,894292.047410104
78379.4122390042,5.985697151,5.681833507,3.2,31357.3882142977,1159841.83133925
70877.3757429186,6.766877154,7.213659075,5.07,36033.4268515435,1195986.29883487
61526.9744479767,6.593962539,9.180401429,6.11,27307.9480314136,1381430.63018879
65316.9960207099,7.414875231,6.733084867,2,55799.4974811819,1534889.85346666
76268.8183338632,6.942797867,6.147907596,3.17,38649.8523862125,1494125.32987188
48531.3642285299,6.863184039,8.517401059,5.3,39731.1505634947,1356146.26084262
82906.6548011591,5.901451656,5.767366136,4.26,38820.4819437613,1454943.07366124
63117.8440507735,4.940396705,5.636779395,2.31,43091.8451425058,774118.1878
75860.8611488931,3.69089057,4.788380207,3.48,41003.8800811376,889113.23886125
68844.7642487581,4.860453,6.916808182,3.29,48392.4973604584,1211102.21088924
52446.2668560013,5.694610808,7.429639244,3.11,32934.5532009749,658646.184726519
69342.706839904,5.804686753,7.805903702,3.36,37082.3742189118,1400104.87076026
55932.052683871,7.218309145,6.020201205,4,42488.3099995522,1262017.79205995
53306.9221365037,4.632267718,6.194794325,2.15,39063.3387138905,553077.212612076
56976.5463984169,6.061212241,7.259286709,3.08,46375.5024943384,1203247.89013392
51296.4886297106,6.155259764,7.831766476,6.18,32078.9068011665,1115323.01484241
63995.0048928011,7.59753322,7.090050637,5.25,24748.2682708913,1301881.41652858
71915.1466857721,6.279753854,5.521216371,4.47,27714.2936568563,1006687.38713887
62137.5972133109,5.440725043,7.235191288,5.21,19045.6195052118,749383.072555408
78050.9698277754,5.234044768,6.290305889,4.15,27789.7485162973,1075596.5865852
67371.4208565759,5.333820712,6.624951289,4.37,24797.7647585172,739870.793640266
59362.7663828537,7.482630242,8.003006746,3.49,44723.3537296935,1442945.14497208
57003.109637399,7.01058346,6.35625872,3.14,29594.6933749759,828497.067096069
68989.3122094651,6.075426018,7.879588245,6.37,32629.6038348784,1373290.86077854
70969.9021026419,4.901817799,6.396268006,3.18,24833.6461450902,925566.331316076
82251.6530083296,7.741091334,7.636653827,6.49,18408.7986353395,1552536.76397455
71306.4572992749,5.773717163,6.68823017,2.04,43284.3971578627,1335904.50091554
70921.5685686471,5.665185385,6.375371506,3.28,29390.217270185,960808.291081754
70739.4600957301,6.710699576,7.166501646,6.28,35148.6677527088,1405933.01869925
58097.841822991,6.386347996,6.144038119,3.04,19903.0000788285,619087.693617534
51273.5088526293,7.032317226,6.888205629,2.09,53811.8949059733,1329273.22764986
76326.5923246967,5.02469487,4.936329009,3.44,42779.8312959178,1261843.84432174
63584.0458800195,5.832827571,6.029160867,4.29,46340.1885814125,1175781.41757006
86340.2872916062,4.930051,6.183440077,3.01,35630.5604514931,1437053.55720162
79471.2388169988,5.867269778,8.197289421,6.21,36616.1688343713,1594415.22629122
55879.5037922299,6.407946258,5.370386614,2.07,37360.0635574045,931357.995421926
40503.541332199,6.881778623,6.566175293,3.14,45979.47754,798639.654177922
83394.4078317494,5.601486668,5.905024344,2.08,30487.5246232041,1451739.62465271
64501.2264490648,6.001641691,7.293476754,5.33,43869.3099844017,1278991.68869961
59569.5373400042,6.279536891,7.325379539,4.24,31294.6524604044,885920.553249364
69280.3162716821,6.861548028,6.923618932,4.33,40290.911494024,1425632.5419742
66342.4896811373,5.857266082,6.94910892,3.06,11792.8151590705,901881.742686239
73367.0459908393,6.173290661,9.054709888,5.25,23684.7879511692,1521730.79140327
57122.2248394613,5.70765003,5.929733805,2.4,41972.7715437442,716771.005748875
61978.8480464505,7.912276047,8.437966416,5.37,56957.1877499331,1696717.10729937
54299.968820232,6.635899749,6.851535828,2.49,39512.6637056008,819598.007848179
71424.4060066885,5.59893322,8.522538378,3.49,37242.561593334,1584213.95748502
57353.154356747,8.07544792,5.678555483,4.44,16906.4217205817,798892.515039676
44731.1097999654,4.188658329,8.942797164,5.12,39633.4730410884,601973.001739713
76175.4939277054,4.524140652,9.524973612,4.28,30760.9949564715,1456486.29296315
66574.7099939311,5.550264729,6.844150153,2.17,69575.4494636571,1702406.03893521
91731.1543827564,5.184810712,7.94387972,6.3,33102.0954222083,1566471.00832536
75487.032599428,6.453931678,7.737095684,4.02,41105.3906304319,1592210.17592313
58088.4381296235,6.017831001,5.790005275,4.21,51925.4116128215,937628.346693661
76319.2186043722,6.873130199,6.294054951,3.45,48026.3083675307,1558547.57783752
60575.1624445922,5.907565592,6.964616002,2.29,32158.9679039763,1156329.27404976
69607.1336654315,7.077680826,7.833081192,3.35,34609.04022,1514349.6921977
67056.8404803734,5.222168522,7.163517523,5.25,25134.6814845173,1039107.32630562
60640.9318812897,5.165921529,5.355113624,2.32,43119.5406562602,809089.671945497
69031.9088775756,5.779976246,5.501755138,3.23,15660.4030083548,675536.391488567
80356.209386755,4.660417824,9.710216896,5.02,16215.4172784877,1373589.80350174
60081.1766203647,6.768523696,8.204552838,4.3,60195.7462671589,1690091.01869486
61881.4793096532,6.519463054,7.114083652,5.38,35597.3728930255,1253370.14892134
59590.9652924468,6.891731041,5.736029404,2.03,24153.8825229801,774073.561854088
89831.3192919978,5.20196372,7.719652764,6.37,45335.3602762008,1741959.83443074
72175.2834994272,7.421738946,6.828247305,2.09,50305.7954131864,1705762.78831897
67589.0488415116,6.21484263,6.060884656,2.34,33203.3839217551,1071109.9165851
77300.0314436444,5.260974726,6.936548024,4.49,29499.040952514,1118047.99120952
65382.888323478,5.39681918,7.648386114,6.08,41723.054741227,1165253.03271806
71145.2127,6.152109975,6.765832563,2.31,35642.5303355067,1280910.19
61053.0380034137,5.787890692,5.687062576,2.02,40675.7738261271,841122.882380687
65125.9478682161,5.928483443,7.057757992,4.19,37642.785273074,1228810.74504552
51949.2957027281,6.209803037,8.051118256,5.28,35336.0630541134,1086072.07106142
75897.9888384599,5.316933287,6.768229399,3.33,34162.6706068033,1204372.29521967
71468.3504959454,6.158043453,6.361238405,3.35,43269.0333668275,1345004.11975651
53287.9920722287,5.755609227,7.162322376,3.32,45152.0142680081,1116902.34489304
61503.040596054,5.13081313,7.015317326,3.12,37650.8697093233,822431.730265177
68896.0485607892,6.38632518,8.365074594,4.47,28394.6097802177,1360623.69445693
91159.4183271806,6.536045428,7.373850919,3.01,54861.091096617,2298379.48670761
63375.3484793034,6.67234006,7.883780977,3.41,45633.1922399718,1400498.26757476
59695.5714742366,5.44538285,6.032795265,2.04,20702.8026700648,566848.732098608
63183.8897417217,5.570561937,7.541807496,5.08,58691.2006648073,1367586.27773802
61177.8081347372,6.998928282,7.088385883,5.13,26396.2911117997,1113373.52000173
58642.311222216,5.209923093,6.275371125,3.42,35131.5781451658,721974.551474637
53112.2780605234,5.138651816,6.325363471,4.25,40367.3838709257,685503.990271808
40366.6162912573,4.902939589,7.6171181,5.07,16349.3653943101,152071.87474956
62207.4758055884,7.297532823,7.002864274,5.38,34317.5383114299,1280431.57364784
57477.9507623293,5.405444821,7.207172822,6.35,23649.9688699109,568703.183833563
55630.4889571483,6.283122836,8.933119985,6,38943.0959909383,1200764.84420045
72399.3055571452,6.740676312,7.552269769,6.15,41662.0000692644,1607161.63714503
89868.8919271984,4.504274579,7.234479887,5.45,30101.7245743789,1421715.41534361
59801.4910294355,4.210462758,4.954387464,2.03,33534.9264026452,311111.200586772
61957.1543036817,7.841080502,7.472966964,4.19,38448.4914820249,1338044.38331259
71123.4328155373,6.685810937,6.16923837,3.43,44020.1441018469,1417870.98273673
55202.705470426,4.375933244,8.259044318,3.4,28424.9516459107,796389.437956631
79298.1220082139,7.188208135,5.336841156,3.44,15753.2666384864,1310207.13303943
65070.5670087092,7.143558507,5.579766055,4.3,24852.5651529172,994897.727764468
68494.9825521055,7.230364893,7.265462685,5.46,13998.5712051969,1202987.82934714
55702.205376175,5.551957132,5.648555397,3.08,40087.7956143649,768751.900544096
57233.6084923534,7.893834161,6.036621215,2.27,37374.9192446283,1211655.30549004
85313.8854506901,6.033157792,6.633757595,4.21,23974.4355675174,1540418.22216255
60224.6517130735,4.675940133,5.428846667,3.23,42182.8621104635,712228.424302722
73873.8191888879,6.789870886,6.630909086,3.17,33336.3273467504,1525533.40662551
63149.4852289166,7.156294433,5.518835024,2.04,37578.8468720026,1034218.40185903
58593.7940350625,4.662980906,6.333616932,2.04,39287.5279024817,874103.660606592
73839.8724165726,6.446181952,8.274063584,4.19,47602.5102050914,1912825.28521777
75984.831108798,6.725721311,7.887775836,4.31,42248.6858555497,1754770.59020686
82145.3694210782,6.54096795,6.876150329,4.23,25736.0960545575,1340066.9130844
69017.1828001266,5.777106148,5.783612779,3.11,55830.7528357137,1446756.86276142
75429.1789760467,6.818759161,7.570447111,5.48,36769.2496816321,1592768.24182693
69513.5389207304,4.122901533,7.641107312,6.08,14054.0534332294,660364.98133583
57782.4170771091,5.159300978,6.332626733,2.46,33426.8493754881,861321.580692472
74372.1384524794,6.562379591,8.184510518,6.35,34321.9601548842,1648246.7742056
63522.1219322342,5.538042849,6.952195766,2.04,31995.5252921874,977135.885657804
61193.7148306065,7.647150882,9.086807717,3.21,33196.0598369835,1591934.19032791
60316.7907304723,4.308730209,5.564352875,4.12,33831.8936260558,695386.331038621
58469.9122025115,5.408899965,4.807387458,2.26,33547.9848212569,568977.072769081
75179.9029897626,4.595920956,7.201635799,5.13,23978.0933047016,935590.804295326
56186.9632913534,3.992027947,8.960742515,5.2,41855.6547351104,984311.774539692
73225.0662954686,5.933498536,6.868603895,2.3,61830.5397221798,1796245.80790556
74338.9277097638,5.084714868,5.186852796,4.07,18057.1717844535,720080.232052889
52188.1187274564,5.636892091,5.807401479,4.03,42495.7546773249,783808.402466168
83311.1039432499,6.690551405,8.297556745,3.16,30386.3663107652,1598615.97448642
72288.6752029574,6.599434697,7.979877824,5.11,39146.9204990548,1564125.23794177
54866.2156943578,6.986763275,7.285434147,3.46,35192.8440278452,929480.629895212
85759.6577619237,4.789357418,8.965705366,6.22,25897.7580214832,1414495.34313381
59453.3420369482,6.29111354,7.482571479,6.08,29697.6448058313,837668.10260211
69878.7741990808,7.218330987,6.249192235,4.02,26814.174747584,1197515.45422484
59243.2976300167,6.729520552,7.058764828,4.26,51405.352484359,1232004.82983475
57853.3301960097,6.500094306,7.316551003,4.36,47688.2265977863,1285933.40840668
66643.3146336998,6.392834115,7.698007536,4.41,30971.1571063363,1361521.98293763
69248.2995879288,5.958735587,5.652694477,2.21,35990.1033869556,1090826.37448631
75129.7211582068,6.287836931,7.447318296,3.37,41620.2892983985,1475319.69913558
76209.9953075871,7.009045648,5.464338971,4.22,22721.6493988536,1066659.38298835
69342.3765654529,6.069486987,8.018121333,3.43,21641.9728635459,1117432.98005745
77630.9550751082,6.80962742,6.829667441,2.29,31739.8891160808,1420283.55883776
68929.1580744835,7.590878456,6.891969493,3.24,172.6106863,840272.864892319
70990.8049136657,6.014814127,4.651974295,2.46,30904.2530346627,1024907.94019351
55860.6808384666,7.751794757,9.02450267,5.12,40335.2202762575,1494241.22619044
56380.9883950769,5.706260589,6.650904529,4.37,43994.2441146079,1125880.48737074
64306.3388191362,4.806617647,7.879677057,4.28,30762.36021,1082455.01751124
76547.9566977666,6.50322147,6.974804487,3.08,40564.6448879253,1554634.9946986
57101.7170502368,5.493161996,7.650205974,6.09,41104.4666206493,1011365.36494212
76192.6560358653,7.303749826,7.337589917,6.33,21245.8416192102,1432756.51709421
79585.5522298756,5.778524695,8.430787827,4.32,31773.3373951059,1612717.55309934
70759.8558037945,6.367973326,5.493294013,4.2,25981.8310031074,973299.861788715
76907.2381605467,5.205508259,6.462700239,4.21,21658.4093225381,679228.992746839
64744.9424442967,5.900247576,8.467599729,6.03,28880.0175859763,1270999.93938057
51976.0239328276,5.354922556,7.375559651,4.42,36360.1687493179,910211.018936968
61252.6376715231,5.189911336,7.191572627,4.43,40890.2660286681,1026271.79594286
58841.1429235474,7.754160967,6.916338174,4.05,39555.0705940355,1496729.53576642
79112.6414050625,6.357250993,7.8515296,5.27,33771.7404923558,1490539.05810979
76056.2891119593,6.480979871,8.245224408,5.4,28470.701474179,1491838.49444347
52399.6482202459,6.804016971,8.971111959,3.11,18092.1303623613,996771.248150769
77551.6277991594,5.535920946,4.679134254,2.03,35834.4929957576,1064854.30894013
64160.8159464993,5.67760881,6.534959524,4.05,32339.0062778207,985749.787356535
71167.0341449246,7.328943583,9.442325018,4.35,35174.87134,1952622.4017317
84963.6634083828,7.068466766,6.207145314,3.02,40447.0107459583,1754969.16194479
59712.8223088661,5.735499522,6.979752379,3.23,42601.8426151279,1122240.36398457
77733.7311864233,5.624500144,5.967832307,3.23,32074.5759861857,1236931.72826266
85707.0787527002,4.374148491,6.350156836,4.47,10424.4162454505,966084.420430353
70280.3613517255,4.728804322,5.012885306,4.4,39662.7418683306,852268.671650633
69330.7412198286,7.31890726,6.252757358,2,30097.8355904924,1280669.87346605
72988.7059694556,5.95937925,5.74843726,3.36,50566.6447987842,1190213.51290501
65697.8206740207,5.728201697,7.282106847,4.2,28742.1259523062,1123851.14141145
76245.2184748448,7.955766597,7.826124971,3.12,32016.2347563065,1689120.42652009
53546.8721395812,7.174569183,8.343557927,3.49,45504.2036870917,1573347.78844378
73643.0572984383,6.766853185,8.33708535,3.34,43152.1395773558,1696977.6628326
84774.4512207909,7.019666733,5.450658517,2.27,32383.5554369743,1414286.72449432
58140.9403169597,5.064855375,6.649447661,2.27,49337.5315215261,755292.114360278
61881.1637169717,6.293585382,6.048295389,2.31,21397.4486013134,714706.428853739
75312.2595101191,5.364982406,6.667365547,4.09,9487.9215854778,944001.558330841
81328.8073044074,6.483153394,6.908829672,3.01,31231.5444025179,1523136.48472095
